Code number,Category of Disease,Cause of death,Totals,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Ward 45,Ward 46,Ward 47,Ward 48,Non-resident
,Totals: All category,,42643,1049,1051,605,533,378,150,979,484,126,691,260,322,537,568,1257,357,348,748,1252,1057,817,1785,809,1489,1247,1463,1377,1124,851,1010,600,899,1309,1419,279,1540,547,1372,1617,1667,495,880,940,921,723,1270,834,517,630
,Totals: I. General diseases A. Epidemic diseases,,9535,306,275,147,132,70,24,158,65,20,93,49,56,109,128,275,89,76,145,223,197,205,377,223,288,321,317,271,233,224,284,120,183,315,320,57,356,112,389,389,416,105,199,223,168,212,292,166,133,16
1,I. General diseases A. Epidemic diseases,Typhoid fever,85,0,3,6,2,0,0,3,3,0,3,0,0,0,1,1,1,1,0,2,3,2,6,2,3,3,3,1,1,1,3,1,2,0,1,1,6,1,1,3,4,2,2,0,3,0,4,0,0,4
4,I. General diseases A. Epidemic diseases,Malarial fever,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,I. General diseases A. Epidemic diseases,Measles,119,7,12,2,0,0,0,0,0,0,1,0,1,2,0,4,3,1,1,4,0,0,3,3,2,4,6,0,6,2,3,1,2,10,3,0,3,1,3,3,6,4,3,1,5,2,0,0,5,4
7,I. General diseases A. Epidemic diseases,Scarlet fever,43,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,3,0,1,2,0,1,0,2,3,2,0,1,0,2,2,0,0,5,3,0,1,0,1,0,0
8,I. General diseases A. Epidemic diseases,Whooping cough,337,11,11,7,7,1,0,4,1,1,5,3,0,4,3,13,4,4,0,8,7,6,23,13,7,4,17,2,7,9,8,5,4,10,13,0,11,3,17,9,24,4,5,5,16,5,6,7,3,2
9a,I. General diseases A. Epidemic diseases,Diphtheria,382,10,17,6,9,1,1,5,2,0,2,5,3,5,9,11,4,5,4,1,9,5,19,5,14,15,14,5,6,4,3,7,6,32,15,3,10,9,14,15,6,4,6,11,8,12,4,7,5,3
9b,I. General diseases A. Epidemic diseases,Croup (membranous),4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,I. General diseases A. Epidemic diseases,Influenza,8395,270,221,124,108,66,23,138,55,19,81,40,51,95,112,242,76,61,137,191,173,186,318,197,259,286,272,255,207,202,263,106,164,259,282,53,319,97,351,342,373,89,176,196,132,180,275,149,115,0
13,I. General diseases A. Epidemic diseases,Cholera nostras,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,I. General diseases A. Epidemic diseases,Dysentary,15,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
17,I. General diseases A. Epidemic diseases,Leprosy,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,I. General diseases A. Epidemic diseases,Erysipelas,40,1,1,1,1,0,0,1,1,0,1,0,1,1,1,2,1,1,2,1,0,1,2,2,1,2,1,2,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,3,2,0,1,0,0,0
19a,I. General diseases A. Epidemic diseases,Epidemic cerebrospinal meningitis,100,3,7,1,1,1,0,4,2,0,0,1,0,1,0,2,0,1,0,3,3,4,6,1,1,4,3,4,1,4,2,0,2,0,3,0,1,1,0,13,3,1,1,3,2,3,2,0,5,3
19b,I. General diseases A. Epidemic diseases,Chicken-pox,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19c,I. General diseases A. Epidemic diseases,Other epidemic diseases,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Totals: I. General diseases B. Other general diseases,,6512,124,105,77,81,70,37,174,105,20,132,43,51,95,98,182,48,57,116,209,170,127,271,103,236,148,216,332,192,147,139,108,150,190,209,33,219,83,180,197,207,80,150,138,186,85,183,128,81,183
20, I. General diseases B. Other general diseases,Septicemia,35,0,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,3,1,1,1,2,1,3,0,0,1,0,0,1,0,0,0,0,4,1,0,1,0,1,1,0,3,0,3
22, I. General diseases B. Other general diseases,Anthrax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79, I. General diseases B. Other general diseases,Heart disease,3755,82,67,28,29,38,18,117,51,21,48,16,32,45,58,104,21,31,70,109,118,93,142,83,171,103,125,165,97,66,77,54,88,125,109,34,115,54,111,122,114,73,91,79,71,44,134,75,37,57
80, I. General diseases B. Other general diseases,Angina pectoris,105,3,0,0,1,0,0,2,5,0,0,0,1,1,4,3,2,2,0,3,4,0,6,2,7,3,1,4,6,0,1,1,7,1,2,0,3,0,4,4,4,0,3,3,1,0,7,2,2,2
81, I. General diseases B. Other general diseases,Diseases of arteries,813,11,8,5,4,4,3,22,10,1,12,1,3,4,9,25,3,2,17,20,18,18,76,11,37,12,23,60,25,17,19,15,25,17,24,6,21,17,37,17,27,10,21,21,16,8,26,10,15,5
82, I. General diseases B. Other general diseases,Embolism and thrombosis,96,1,2,0,3,0,0,4,2,0,3,1,0,1,0,3,0,0,3,4,2,2,5,7,4,1,1,2,3,3,2,2,3,0,3,5,1,0,4,0,3,2,2,3,3,0,3,2,1,6
83, I. General diseases B. Other general diseases,Diseases of veins,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
84, I. General diseases B. Other general diseases,Diseases of lymphatics,22,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,1,1,0,1,0,0,1,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1
85, I. General diseases B. Other general diseases,Hemorrhages (except of lungs),8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
,Totals: IV. Diseases of respiratory system,,9610,270,363,172,148,98,30,235,77,19,173,73,89,124,140,286,85,78,143,295,238,152,412,183,300,251,401,192,227,152,213,108,172,280,368,50,406,107,275,447,372,89,160,197,204,167,289,170,130,134
86,IV. Diseases of respiratory system,Diseases of nasal fossa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
87,IV. Diseases of respiratory system,Laryngitis,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,0,1,0,0,1,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,2
87a,IV. Diseases of respiratory system,Other diseases of larynx,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,IV. Diseases of respiratory system,Diseases of thyroid body,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
89,IV. Diseases of respiratory system,Acute bronchitis,430,11,29,13,6,2,0,7,6,0,4,8,9,5,11,11,4,3,3,14,5,9,12,12,8,13,17,5,11,11,8,7,8,10,13,5,20,4,15,24,17,11,3,6,8,8,5,5,4,1
90,IV. Diseases of respiratory system,Chronic bronchitis,120,2,2,1,2,0,1,0,0,0,3,1,1,1,1,2,0,1,0,5,2,1,7,1,5,5,7,4,3,2,1,2,2,4,4,4,4,2,3,4,2,0,2,5,1,2,4,12,2,0
91,IV. Diseases of respiratory system,Broncho-pneumonia,2955,84,129,61,36,26,9,69,26,6,41,18,22,38,36,91,32,23,53,78,96,51,144,51,95,86,143,49,63,50,48,41,56,93,114,15,124,30,76,117,104,19,49,63,63,55,88,56,38,31
92,IV. Diseases of respiratory system,Pneumonia,5673,157,192,91,94,64,20,148,39,12,116,43,53,75,83,169,42,43,76,184,121,85,231,115,182,136,225,122,142,78,139,56,96,156,223,25,242,66,168,284,233,58,98,116,125,96,177,92,85,88
