id,Population (1910 Census),Typhoid fever,Malarial fever,Measles,Scarlet fever,Whooping cough,Diphtheria,Croup (membranous),Influenza,Cholera nostras,Dysentary,Leprosy,Erysipelas,Epidemic cerebrospinal meningitis,Chicken-pox,Other epidemic diseases,Septicemia,Anthrax,Heart disease,Angina pectoris,Diseases of arteries,Embolism and thrombosis,Diseases of veins,Diseases of lymphatics,Hemorrhages (except of lungs),Diseases of nasal fossa,Laryngitis,Other diseases of larynx,Diseases of thyroid body,Acute bronchitis,Chronic bronchitis,Broncho-pneumonia,Pneumonia,Pleurisy,Congestion and apoplexy of lungs,Gangrene of lungs,Asthma
Entire city (total),1549008,85,3,119,43,337,382,4,8395,1,15,3,40,100,1,7,35,1,3755,105,813,96,11,22,8,3,18,1,9,430,120,2955,5673,146,139,7,76
Ward 1,47712,0,0,7,1,11,10,0,270,0,3,0,1,3,0,0,0,0,82,3,11,1,0,2,0,0,0,0,0,11,2,84,157,4,7,1,3
Ward 2,40536,3,0,12,2,11,17,1,221,0,0,0,1,7,0,0,1,0,67,0,8,2,0,0,1,0,0,0,0,29,2,129,192,3,3,0,5
Ward 3,25747,6,0,2,0,7,6,0,124,0,0,0,1,1,0,0,0,0,28,0,5,0,0,0,0,0,0,0,0,13,1,61,91,2,2,0,2
Ward 4,22316,2,1,0,3,7,9,0,108,0,0,0,1,1,0,0,2,0,29,1,4,3,0,1,1,0,1,0,0,6,2,36,94,2,2,0,4
Ward 5,17006,0,0,0,0,1,1,0,66,0,0,1,0,1,0,0,1,0,38,0,4,0,0,0,0,0,0,0,0,2,0,26,64,0,5,0,0
Ward 6,6374,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,1,9,20,0,0,0,0
Ward 7,27425,3,0,0,1,4,5,0,138,0,1,1,1,4,0,0,1,0,117,2,22,4,0,1,1,0,0,0,0,7,0,69,148,3,6,0,2
Ward 8,13965,3,0,0,0,1,2,0,55,0,1,0,1,2,0,0,1,0,51,5,10,2,0,0,0,0,0,0,0,6,0,26,39,3,2,0,0
Ward 9,5071,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,6,12,0,1,0,0
Ward 10,19426,3,0,1,0,5,2,0,81,0,0,0,1,0,0,0,1,0,48,0,12,3,0,0,0,0,1,0,0,4,3,41,116,5,2,0,0
Ward 11,11619,0,0,0,0,3,5,0,40,0,0,0,0,1,0,0,0,0,16,0,1,1,1,0,0,0,0,0,0,8,1,18,43,3,0,0,0
Ward 12,15512,0,0,1,0,0,3,0,51,0,0,0,1,0,0,0,0,0,32,1,3,0,1,0,0,0,0,0,0,9,1,22,53,3,0,0,0
Ward 13,19769,0,0,2,0,4,5,0,95,0,0,0,1,1,0,1,0,0,45,1,4,1,0,0,0,0,0,0,0,5,1,38,75,2,2,0,1
Ward 14,19477,1,0,0,1,3,9,0,112,0,0,0,1,0,0,1,0,0,58,4,9,0,0,0,0,0,0,0,0,11,1,36,83,6,1,0,2
Ward 15,47273,1,0,4,0,13,11,0,242,0,0,0,2,2,0,0,0,0,104,3,25,3,0,1,0,0,0,0,1,11,2,91,169,3,4,0,3
