Publication Year,Author,Author Reconciled,Title,Series,Publisher,Place,Library Collection,Call Number,Notes,Editors,Translator,Contributor,Edition
1951,"Judson, Clara Ingram, 1879-1960.","Judson, Clara Ingram, 1879-1960",City neighbor : the story of Jane Addams,,Scribner's Sons,New York,University of Illinois at Chicago,,,"Ray, Ralph",,,
1931,"Ludmann, Oscar, 1900-","Ludmann, Oscar, 1900-",Stepchild of the Rhine : an autobiography,,"A. H. King, inc.",New York,University of Illinois at Chicago,,,,,,
1934,"Tolstoy, Alexandra, 1884-1979.","Tolstoy, Alexandra, 1884-1979",I worked for the Soviet,,Yale University Press,New Haven,University of Illinois at Chicago,,,"Blanshard, Roberta Yerkes, 1907-2001",,,
1912,"Hitchcock, Charles C.","Hitchcock, Charles C.",The socialist argument,,C. H. Kerr & Co.,Chicago,University of Illinois at Chicago,,""From the personal library of Jane Addams."""From the personal library of Jane Addams."""",,,,
1906,"Sabatier, Paul, 1858-1928.","Sabatier, Paul, 1858-1928",Disestablishment in France,,C. Scribner's sons,New York,University of Illinois at Chicago,,,"Dell, Robert, 1865-1940",,,
1931,"Hollen, Aura May.","Hollen, Aura May.",Consciousness and its purpose,,The Keats publications,"Hollywood, Calif.",University of Illinois at Chicago,,,,,,
1904,Laozi.,Laozi.,The sayings of Lao Tzŭ,Wisdom of the East series,Orient Press,London,University of Illinois at Chicago,,,"Giles, Lionel, 1875-1958",,,
1934,"Gregg, Richard Bartlett, b. 1885.","Gregg, Richard Bartlett, 1885-",The power of non-violence,,J. B. Lippincott Co.,Philadelphia,University of Illinois at Chicago,,,,,,
1904,"Shaler, Nathaniel Southgate, 1841-1906.","Shaler, Nathaniel Southgate, 1841-1906",The neighbor; the natural history of human contacts,,"Houghton, Mifflin and company",Boston and New York,University of Illinois at Chicago,,,,,,
1885,"Tolstoy, Leo, graf, 1828-1910.","Tolstoj, Lev Nikolaevič,  1828-1910",What I believe,,E. Stock,London,University of Illinois at Chicago,,""From the personal collection of Jane Addams, with her autograph."""From the personal collection of Jane Addams, with her autograph."""",,,,
