Original sort order,Names,Acres,Month & Day,Year
1,"Acker, Jacob Philip",100,Jan. 29,1733
2,"Acker, Henry",100,Jan. 29,1733
3,"Assheton, Ralph",2500,Feb. 12,1733
4,"Alshtadt, Martin",100,Feb. 21,1733
5,"Adam, John",150,Feb. 27,1733
6,"Alsprick, John",200,Feb. 27,1733
7,"Andrews, Peter",100,Jan. 8,1734
8,"Ashmead, John",16,March 15,1733-4
9,"Assheton, Ralph, Esq.",2500,March 20,1733-4
10,"Assheton, Ralph",null,Nov. 15,1735
11,"Armit, Stephen",City lot,Jan. 27,1735-6
12,"Atwood, William",City lot,Jan. 27,1735-6
13,"Adams, Henry",200,Nov. 28,1737
14,"Adams, Henry",150,Nov. 28,1737
15,"Auman, Jacob",100,Nov. 30,1737
16,"Atwood, Wm.",City lot,Dec. 31,1737
17,"Adam, Henry",50,June 21,1737
18,"Altorf, Frederick",56,Oct. 5,1737
19,"Adam, John",25,Jan. 16,1741
20,"Antes, Henry",356,March 25,1741
21,"Ashmead, John",104,June 22,1742
22,"Aleback, Mathias",113,April 9,1743
23,"Ashman, Abraham",250,April 9,1743
24,"Albrecht, Joseph",50,April 11,1743
25,"Ashman, Abraham",50,June 8,1743
26,"Arnstlicher, George",50,Feb. 9,1744
27,"Arnstlicher, George",25,Feb. 14,1744
28,"Andrews, Adam",City lot,Aug. 30,1744
29,"Ashbridge, Geo., Jr.",City lot,July 25,1745
30,"Adams, John",50,Feb. 7,1746
31,"Allen, Nehemiah",City lot,Feb. 24,1747
32,"Alstadt, Martin",City lot,Aug. 4,1748
33,"Albright, Cathrine",50,Sept. 27,1748
34,"Assamermiller, Fred'k",50,Sept. 30,1748
35,"Adam, Anthony",50,Feb. 7,1748-9
36,"Alderfer, Leonard",50,Feb. 20,1749
37,"Allen, Wm., Esq.",5000,Feb. 28,1750
38,"Antwerk, Henry",20,Sept. 15,1750
39,"Allen, Charles",Lots &c.,Oct. 6,1750
40,"Abentshin, Christian",50,Oct. 29,1751
41,"Acker, Conrad",200,April 5,1760
42,"Ashbridge, Geo.",200,Sept. 26,1761
43,"Ashenfeller, Philip",125,Feb. 27,1761
44,"Ashbridge, John",250,April 23,1761
45,"Allen, Wm., Esq.",City lot,Nov. 23,1762
46,"Allen, Wm., Esq.",City lot,Nov. 23,1762
47,"Ashbridge, Geo.",City lot,Oct. 19,1764
48,"Allen, Wm., &",City lot,Oct. 17,1764
49,"Ashbridge, Geo.",100,Dec. 5,1764
50,"Ashmead, Samuel, Esq.",City lot,March 6,1766
51,"Ashmead, John","Island, 98",March 13,1851
52,"Brockden, Charles",null,March 25,1720
53,"Bird, William",100,Jan. 8,1733
54,"Beytill, Christopher",200,Jan. 23,1733
55,"Boier, Gabriel",150,Feb. 5,1733
56,"Bingaman, John",100,Feb. 5,1733
57,"Bomperry, Martin",150,Feb. 27,1733
58,"Brown, John",150,Feb 27,1733
59,"Baum, Debold",250,Feb. 27,1733
60,"Beytill, Christopher",50,Feb. 28,1733
61,"Berlit, Wolf Hans",100,March 5,1733
62,"Bernard, Henry",150,March 8,1733
63,"Boone, George",340,Jan. 4,1734
64,"Boone, Joseph",200,Jan. 4,1734
65,"Boone, Geo., Jr.",700,Jan. 4,1734
66,"Beisel, Peter",100,Jan. 29,1734
67,"Bower, Hans",150,Jan. 29,1734
68,"Boone, Benjamin",300,Feb. 8,1734
69,"Barthold, John",150,Feb. 22,1734
70,"Bern, Andrew",150,Feb. 26,1734
71,"Bogard, George",20,March 8,1734
72,"Bussart, Andrew",150,March 8,1734
73,"Beitler, Ulrich",210,March 11,1734
74,"Brown, Samuel",100,April 29,1734
75,"Beidler, Christian",100,May 8,1734
76,"Banfield, Thomas",100,May 22,1734
77,"Bartolett, John",200,June 3,1734
78,"Behme, Conrad John",150,July 15,1734
79,"Bawter, Christopher Geo.",200,Aug. 14,1734
80,"Beley, Hans",150,Aug. 17,1734
81,"Ball, Tobias",100,Aug. 22,1734
82,"Bastian, Michael",100,Sept. 20,1734
83,"Bernard, Peter",100,Oct. 26,1734
84,"Bird, William",50,Dec. 4,1734
85,"Bayer, Andrew",150,March 11,1735
86,"Beck, Mathias",200,Dec. 1,1735
87,"Bispham, Joshua",City lot,Dec. 6,1735
88,"Bispham, Joshua",City lot,Dec. 6,1735
89,"Berstler, Jacob",200,March 31,1736
90,"Bartolet, Eliza",150,July 6,1736
91,"Berlit, Wolf Hans",150,Aug. 28,1736
92,"Ballance, Thomas",100,Jan. 6,1737
93,"Brown, Martin",150,Jan. 18,1737
94,"Boyer, Christian",null,March 3,1737
95,"Boone, George",100,March 7,1737
96,"Boone, George",100,March 7,1737
97,"Bawter, Christopher Geo.",100,March 18,1737
98,"Beior, Gabriel",60,April 20,1737
99,"Barria, Michael",172,May 3,1737
100,"Breitnal, John",City lot,May 5,1737
101,"Boone, George",100,June 9,1737
102,"Bowman, Casper",150,June 9,1737
103,"Boone, George",150,June 9,1737
104,"Beaks, Wm.'s heirs",City lot,June 18,1737
105,"Beidleman, Feltee",100,Oct. 1,1737
106,"Bird, Burgon",50,Nov. 29,1737
107,"Buzzard, Jacob",150,Dec. 15,1737
108,"Beyer, Johannes",150,March 20,1738
109,"Bhule, Peter John",150,April 17,1738
110,"Baynton, Peter",City lot,Sept. 1,1738
111,"Buzzart, Jacob",100,Oct. 4,1738
112,"Brockden, Charles",null,Jan. 29,1739
113,"Blake, Wm., heirs",20,Feb. 19,1739
114,"Blake, Edward",City lot,July 10,1739
115,"Beeker, Adam",150,Oct. 3,1739
116,"Beisaker, Jacob",100,Nov. 3,1739
117,"Barrier, Peter",100,Jan. 3,1740
118,"Bealer, Leonard",143.33,July 18,1740
119,"Behm, Philip, & others",City lot,June 18,1741
120,"Brentzer, Christian",50,Sept. 15,1741
121,"Boyer, Johannes",30,Nov. 9,1741
122,"Berkheimer, Wm.",25,Jan. 4,1742
123,"Banfield, Thomas",50,March 4,1742
124,"Bittiney, Martin",100,March 9,1742
125,"Bland, Stamper, & others",500,May 29,1742
126,"Bland, Stamper",600,May 29,1742
127,"Brey, George",25,Aug. 18,1742
128,"Brey, George",25,Aug. 18,1742
129,"Boone, George",300,Sept. 10,1742
130,"Bubinger, Florian",50,Sept. 29,1742
131,"Baker, Adam",50,Oct. 27,1742
132,"Bower, John",100,Nov. 30,1742
133,"Boyer, Christopher",300,Nov. 30,1742
134,"Bomgardner, Mich'l J'no",100,Feb. 15,1743
135,"Eumberger, H'y",100,Feb. 16,1743
136,"Bernard, Peter",50,May 25,1743
137,"Boehm, Philip John",150,Sept. 21,1743
138,"Boyer, Andrew",50,Jan. 22,1744
139,"Bever, George",302,Feb. 14,1744
140,"Bricker, John",100,Feb. 23,1744
141,"Baker, Henry",150,March 13,1744
142,"Baker, Henry",150,March 13,1744
143,"Bne, George",25,Sept. 7,1744
144,"Boone, Squire",25,Oct. 9,1744
145,"Boyer, Philip",100,Nov. 8,1744
146,"Boone, George",100,Dec. 8,1744
